FOF_FFAS100A100,Q,202401,8033715
FOF_FFAS100A110,Q,202401,106065
FOF_FFAS100A120,Q,202401,5611820
FOF_FFAS100A140,Q,202401,412657
FOF_FFAS100A150,Q,202401,1673407
FOF_FFAS100A160,Q,202401,57461
FOF_FFAS100A170,Q,202401,172305
FOF_FFAS100A190,Q,202401,104700
FOF_FFAS100A200,Q,202401,18205398
FOF_FFAS100A210,Q,202401,1103851
FOF_FFAS100A220,Q,202401,448877
FOF_FFAS100A240,Q,202401,10837016
FOF_FFAS100A241,Q,202401,2098217
FOF_FFAS100A242,Q,202401,531874
FOF_FFAS100A243,Q,202401,8206925
FOF_FFAS100A250,Q,202401,2793705
FOF_FFAS100A251,Q,202401,216252
FOF_FFAS100A270,Q,202401,552350
FOF_FFAS100A280,Q,202401,2469599
FOF_FFAS100A300,Q,202401,12103466
FOF_FFAS100A310,Q,202401,448116
FOF_FFAS100A311,Q,202401,9270780
FOF_FFAS100A312,Q,202401,596587
FOF_FFAS100A313,Q,202401,415522
FOF_FFAS100A314,Q,202401,33721
FOF_FFAS100A315,Q,202401,713073
FOF_FFAS100A316,Q,202401,202756
FOF_FFAS100A317,Q,202401,155005
FOF_FFAS100A319,Q,202401,91690
FOF_FFAS100A320,Q,202401,176216
FOF_FFAS100A334,Q,202401,5790263
FOF_FFAS100A330,Q,202401,3454773
FOF_FFAS100A331,Q,202401,2257246
FOF_FFAS100A332,Q,202401,1062309
FOF_FFAS100A333,Q,202401,135218
FOF_FFAS100A318,Q,202401,2335490
FOF_FFAS100A400,Q,202401,30323
FOF_FFAS100A401,Q,202401,16738
FOF_FFAS100A405,Q,202401,13585
FOF_FFAS100A340,Q,202401,1289631
FOF_FFAS100A341,Q,202401,1134054
FOF_FFAS100A342,Q,202401,155577
FOF_FFAS100A500,Q,202401,279503
FOF_FFAS100A510,Q,202401,16953
FOF_FFAS100A520,Q,202401,429676
FOF_FFAS100A530,Q,202401,656637
FOF_FFAS100A540,Q,202401,4655689
FOF_FFAS100A550,Q,202401,460832
FOF_FFAS100A555,Q,202401,78701
FOF_FFAS100A600,Q,202401,466637
FOF_FFAS100A900,Q,202401,52523423
FOF_FFAS100L100,Q,202401,24313701
FOF_FFAS100L110,Q,202401,1256051
FOF_FFAS100L120,Q,202401,5611820
FOF_FFAS100L130,Q,202401,157103
FOF_FFAS100L140,Q,202401,10343647
FOF_FFAS100L150,Q,202401,6286072
FOF_FFAS100L160,Q,202401,288115
FOF_FFAS100L170,Q,202401,370893
FOF_FFAS100L190,Q,202401,378683
FOF_FFAS100L200,Q,202401,8609140
FOF_FFAS100L210,Q,202401,1103851
FOF_FFAS100L220,Q,202401,452780
FOF_FFAS100L240,Q,202401,1303249
FOF_FFAS100L243,Q,202401,1303249
FOF_FFAS100L250,Q,202401,546960
FOF_FFAS100L260,Q,202401,1808042
FOF_FFAS100L270,Q,202401,37600
FOF_FFAS100L280,Q,202401,3356658
FOF_FFAS100L300,Q,202401,3093057
FOF_FFAS100L310,Q,202401,0
FOF_FFAS100L311,Q,202401,933209
FOF_FFAS100L313,Q,202401,610397
FOF_FFAS100L314,Q,202401,49346
FOF_FFAS100L315,Q,202401,254613
FOF_FFAS100L316,Q,202401,576308
FOF_FFAS100L317,Q,202401,121625
FOF_FFAS100L319,Q,202401,242863
FOF_FFAS100L320,Q,202401,304696
FOF_FFAS100L334,Q,202401,6196575
FOF_FFAS100L330,Q,202401,2759288
FOF_FFAS100L331,Q,202401,1077336
FOF_FFAS100L332,Q,202401,1004182
FOF_FFAS100L333,Q,202401,677770
FOF_FFAS100L318,Q,202401,3437287
FOF_FFAS100L400,Q,202401,5432034
FOF_FFAS100L401,Q,202401,548153
FOF_FFAS100L402,Q,202401,2307614
FOF_FFAS100L403,Q,202401,1006260
FOF_FFAS100L404,Q,202401,1586992
FOF_FFAS100L405,Q,202401,-46705
FOF_FFAS100L406,Q,202401,29720
FOF_FFAS100L340,Q,202401,1354079
FOF_FFAS100L341,Q,202401,1193664
FOF_FFAS100L342,Q,202401,160415
FOF_FFAS100L500,Q,202401,457753
FOF_FFAS100L510,Q,202401,20859
FOF_FFAS100L520,Q,202401,475741
FOF_FFAS100L550,Q,202401,601248
FOF_FFAS100L600,Q,202401,517448
FOF_FFAS100L700,Q,202401,1073105
FOF_FFAS100L900,Q,202401,52523423
FOF_FFAS110A100,Q,202401,32962
FOF_FFAS110A170,Q,202401,32962
FOF_FFAS110A200,Q,202401,1103851
FOF_FFAS110A210,Q,202401,1103851
FOF_FFAS110A220,Q,202401,0
FOF_FFAS110A280,Q,202401,0
FOF_FFAS110A300,Q,202401,5884870
FOF_FFAS110A310,Q,202401,40461
